95.627,97.309,98.490,99.100,99.100,98.490,97.309,95.627,93.542,91.171,88.636,86.059,83.550,81.206,79.101,77.291,75.814,74.694,73.942,73.565,73.565,73.942,74.694,75.814,77.291,79.101,81.206,83.550,86.059,88.636,91.171,93.542
97.309,99.087,100.336,100.981,100.981,100.336,99.087,97.309,95.107,92.604,89.931,87.216,84.578,82.116,79.908,78.014,76.470,75.300,74.517,74.124,74.124,74.517,75.300,76.470,78.014,79.908,82.116,84.578,87.216,89.931,92.604,95.107
98.490,100.336,101.634,102.304,102.304,101.634,100.336,98.490,96.205,93.608,90.837,88.025,85.295,82.748,80.468,78.513,76.921,75.716,74.910,74.506,74.506,74.910,75.716,76.921,78.513,80.468,82.748,85.295,88.025,90.837,93.608,96.205
99.100,100.981,102.304,102.986,102.986,102.304,100.981,99.100,96.771,94.126,91.304,88.441,85.663,83.073,80.755,78.767,77.151,75.928,75.109,74.699,74.699,75.109,75.928,77.151,78.767,80.755,83.073,85.663,88.441,91.304,94.126,96.771
99.100,100.981,102.304,102.986,102.986,102.304,100.981,99.100,96.771,94.126,91.304,88.441,85.663,83.073,80.755,78.767,77.151,75.928,75.109,74.699,74.699,75.109,75.928,77.151,78.767,80.755,83.073,85.663,88.441,91.304,94.126,96.771
98.490,100.336,101.634,102.304,102.304,101.634,100.336,98.490,96.205,93.608,90.837,88.025,85.295,82.748,80.468,78.513,76.921,75.716,74.910,74.506,74.506,74.910,75.716,76.921,78.513,80.468,82.748,85.295,88.025,90.837,93.608,96.205
97.309,99.087,100.336,100.981,100.981,100.336,99.087,97.309,95.107,92.604,89.931,87.216,84.578,82.116,79.908,78.014,76.470,75.300,74.517,74.124,74.124,74.517,75.300,76.470,78.014,79.908,82.116,84.578,87.216,89.931,92.604,95.107
95.627,97.309,98.490,99.100,99.100,98.490,97.309,95.627,93.542,91.171,88.636,86.059,83.550,81.206,79.101,77.291,75.814,74.694,73.942,73.565,73.565,73.942,74.694,75.814,77.291,79.101,81.206,83.550,86.059,88.636,91.171,93.542
93.542,95.107,96.205,96.771,96.771,96.205,95.107,93.542,91.602,89.391,87.025,84.615,82.265,80.063,78.081,76.374,74.977,73.916,73.203,72.845,72.845,73.203,73.916,74.977,76.374,78.081,80.063,82.265,84.615,87.025,89.391,91.602
91.171,92.604,93.608,94.126,94.126,93.608,92.604,91.171,89.391,87.361,85.182,82.958,80.784,78.740,76.895,75.300,73.991,72.994,72.322,71.985,71.985,72.322,72.994,73.991,75.300,76.895,78.740,80.784,82.958,85.182,87.361,89.391
88.636,89.931,90.837,91.304,91.304,90.837,89.931,88.636,87.025,85.182,83.200,81.170,79.176,77.296,75.591,74.110,72.891,71.958,71.329,71.012,71.012,71.329,71.958,72.891,74.110,75.591,77.296,79.176,81.170,83.200,85.182,87.025
86.059,87.216,88.025,88.441,88.441,88.025,87.216,86.059,84.615,82.958,81.170,79.329,77.514,75.792,74.222,72.852,71.718,70.847,70.257,69.959,69.959,70.257,70.847,71.718,72.852,74.222,75.792,77.514,79.329,81.170,82.958,84.615
83.550,84.578,85.295,85.663,85.663,85.295,84.578,83.550,82.265,80.784,79.176,77.514,75.864,74.288,72.843,71.573,70.515,69.699,69.144,68.863,68.863,69.144,69.699,70.515,71.573,72.843,74.288,75.864,77.514,79.176,80.784,82.265
81.206,82.116,82.748,83.073,83.073,82.748,82.116,81.206,80.063,78.740,77.296,75.792,74.288,72.842,71.505,70.321,69.329,68.559,68.033,67.766,67.766,68.033,68.559,69.329,70.321,71.505,72.842,74.288,75.792,77.296,78.740,80.063
79.101,79.908,80.468,80.755,80.755,80.468,79.908,79.101,78.081,76.895,75.591,74.222,72.843,71.505,70.257,69.144,68.205,67.471,66.967,66.711,66.711,66.967,67.471,68.205,69.144,70.257,71.505,72.843,74.222,75.591,76.895,78.081
77.291,78.014,78.513,78.767,78.767,78.513,78.014,77.291,76.374,75.300,74.110,72.852,71.573,70.321,69.144,68.086,67.186,66.480,65.993,65.745,65.745,65.993,66.480,67.186,68.086,69.144,70.321,71.573,72.852,74.110,75.300,76.374
75.814,76.470,76.921,77.151,77.151,76.921,76.470,75.814,74.977,73.991,72.891,71.718,70.515,69.329,68.205,67.186,66.315,65.628,65.152,64.909,64.909,65.152,65.628,66.315,67.186,68.205,69.329,70.515,71.718,72.891,73.991,74.977
74.694,75.300,75.716,75.928,75.928,75.716,75.300,74.694,73.916,72.994,71.958,70.847,69.699,68.559,67.471,66.480,65.628,64.952,64.483,64.243,64.243,64.483,64.952,65.628,66.480,67.471,68.559,69.699,70.847,71.958,72.994,73.916
73.942,74.517,74.910,75.109,75.109,74.910,74.517,73.942,73.203,72.322,71.329,70.257,69.144,68.033,66.967,65.993,65.152,64.483,64.018,63.780,63.780,64.018,64.483,65.152,65.993,66.967,68.033,69.144,70.257,71.329,72.322,73.203
73.565,74.124,74.506,74.699,74.699,74.506,74.124,73.565,72.845,71.985,71.012,69.959,68.863,67.766,66.711,65.745,64.909,64.243,63.780,63.543,63.543,63.780,64.243,64.909,65.745,66.711,67.766,68.863,69.959,71.012,71.985,72.845
73.565,74.124,74.506,74.699,74.699,74.506,74.124,73.565,72.845,71.985,71.012,69.959,68.863,67.766,66.711,65.745,64.909,64.243,63.780,63.543,63.543,63.780,64.243,64.909,65.745,66.711,67.766,68.863,69.959,71.012,71.985,72.845
73.942,74.517,74.910,75.109,75.109,74.910,74.517,73.942,73.203,72.322,71.329,70.257,69.144,68.033,66.967,65.993,65.152,64.483,64.018,63.780,63.780,64.018,64.483,65.152,65.993,66.967,68.033,69.144,70.257,71.329,72.322,73.203
74.694,75.300,75.716,75.928,75.928,75.716,75.300,74.694,73.916,72.994,71.958,70.847,69.699,68.559,67.471,66.480,65.628,64.952,64.483,64.243,64.243,64.483,64.952,65.628,66.480,67.471,68.559,69.699,70.847,71.958,72.994,73.916
75.814,76.470,76.921,77.151,77.151,76.921,76.470,75.814,74.977,73.991,72.891,71.718,70.515,69.329,68.205,67.186,66.315,65.628,65.152,64.909,64.909,65.152,65.628,66.315,67.186,68.205,69.329,70.515,71.718,72.891,73.991,74.977
77.291,78.014,78.513,78.767,78.767,78.513,78.014,77.291,76.374,75.300,74.110,72.852,71.573,70.321,69.144,68.086,67.186,66.480,65.993,65.745,65.745,65.993,66.480,67.186,68.086,69.144,70.321,71.573,72.852,74.110,75.300,76.374
79.101,79.908,80.468,80.755,80.755,80.468,79.908,79.101,78.081,76.895,75.591,74.222,72.843,71.505,70.257,69.144,68.205,67.471,66.967,66.711,66.711,66.967,67.471,68.205,69.144,70.257,71.505,72.843,74.222,75.591,76.895,78.081
81.206,82.116,82.748,83.073,83.073,82.748,82.116,81.206,80.063,78.740,77.296,75.792,74.288,72.842,71.505,70.321,69.329,68.559,68.033,67.766,67.766,68.033,68.559,69.329,70.321,71.505,72.842,74.288,75.792,77.296,78.740,80.063
83.550,84.578,85.295,85.663,85.663,85.295,84.578,83.550,82.265,80.784,79.176,77.514,75.864,74.288,72.843,71.573,70.515,69.699,69.144,68.863,68.863,69.144,69.699,70.515,71.573,72.843,74.288,75.864,77.514,79.176,80.784,82.265
86.059,87.216,88.025,88.441,88.441,88.025,87.216,86.059,84.615,82.958,81.170,79.329,77.514,75.792,74.222,72.852,71.718,70.847,70.257,69.959,69.959,70.257,70.847,71.718,72.852,74.222,75.792,77.514,79.329,81.170,82.958,84.615
88.636,89.931,90.837,91.304,91.304,90.837,89.931,88.636,87.025,85.182,83.200,81.170,79.176,77.296,75.591,74.110,72.891,71.958,71.329,71.012,71.012,71.329,71.958,72.891,74.110,75.591,77.296,79.176,81.170,83.200,85.182,87.025
91.171,92.604,93.608,94.126,94.126,93.608,92.604,91.171,89.391,87.361,85.182,82.958,80.784,78.740,76.895,75.300,73.991,72.994,72.322,71.985,71.985,72.322,72.994,73.991,75.300,76.895,78.740,80.784,82.958,85.182,87.361,89.391
93.542,95.107,96.205,96.771,96.771,96.205,95.107,93.542,91.602,89.391,87.025,84.615,82.265,80.063,78.081,76.374,74.977,73.916,73.203,72.845,72.845,73.203,73.916,74.977,76.374,78.081,80.063,82.265,84.615,87.025,89.391,91.602
